Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-05-06,0.08866584984363958,0.4961926021202475,-1.2990357820260394,-1.3309931988839212,-0.1658023222823057,0.34054674230766624,0.2540111869120982,-0.6442206607582781,,Partly cloudy,5,13,13.0
2009-05-07,-0.27058371417800037,0.5485172791737483,-1.1884574766406215,-0.9956556421185965,0.4590132245640639,1.2910459020056726,0.30682804108994244,-1.0656166663427704,,Partly cloudy,5,13,8.0
2009-05-08,-0.1268838885693444,0.6531666332807498,-1.1147386063836764,-1.1762220188383867,-0.1658023222823057,1.1466662828110388,0.016335343111798947,-1.3064143838196232,,Mist,5,8,8.0
2009-05-09,-0.5579833653953123,0.23456921685274365,-0.5249876443281148,-0.47975170863348143,0.779431453716048,1.411362251334534,0.20119433273425388,-1.4268132425580495,,Mist,5,8,7.0
2009-05-10,-0.6298332781996404,0.025270508638740585,-0.7461442550989504,-0.7119084787017832,0.10655317249688107,1.483552060931851,0.7689755151460798,-1.3064143838196232,,Light rain shower,5,7,8.0
2009-05-11,-0.5579833653953123,-0.027054168414760184,-0.8198631253558956,-0.8408844620730619,-0.47019963997669084,1.2308877273412417,0.52469756457355,-0.6442206607582781,,Mist,5,8,13.0
2009-05-12,-0.27058371417800037,0.2868938939062444,-0.8198631253558956,-0.8408844620730619,-0.26192779102790104,1.026349933482177,-0.34017842258864983,-0.7044200901274913,,Partly cloudy,5,13,13.0
2009-05-13,-0.1987338013736724,0.39154324801324597,-0.4881282091996422,-0.4281613152849699,-0.18182323373990494,0.8699386793546571,0.2804196140010203,-1.1258160957119836,,Partly cloudy,5,13,13.0
2009-05-14,-0.3424336269823284,0.2868938939062444,-0.783003690227423,-0.8150892653988062,-0.5503041972646869,0.9060335841533156,-0.48542477157772157,-1.1860155250811968,,Partly cloudy,5,13,13.0
2009-05-15,-0.0550339757650164,0.6531666332807498,-0.19325272817186143,-0.1186189551939009,-0.29396961394309945,0.8458754094888848,-0.5316395189833353,-0.6442206607582781,,Partly cloudy,5,13,8.0
2009-05-16,-0.27058371417800037,0.2868938939062444,0.13848218798439194,0.06194742152588936,-0.4381578170614925,1.158697917743925,0.2804196140010203,-0.10242579643535936,,Mist,5,8,8.0
2009-05-17,-0.1268838885693444,0.600841956227249,0.02790388259897415,0.21671860157142386,0.25074137561527393,1.2308877273412417,-0.39959738353872465,0.318970209149133,,Mist,5,8,17.0
